ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;Hora de la última modificación;Indícanos tu sede;¿Con qué frecuencia asistes a las ayudantías de tus cursos actuales?;¿Cuál o cuáles son las principales razones por la que no asistes o asistes poco a ayudantía?; Cuando no usas la ayudantía oficial, ¿qué utilizas para estudiar?;Utilidad real: ¿Cuánto te sirven para aprender la materia?;Comodidad: ¿Qué tan cómodo(a) te sientes haciendo preguntas?;Claridad: ¿Qué tan claro es el ayudante al explicar?;Preparación: ¿Qué tanto te preparan para las evaluaciones (pruebas/exámenes)?;¿Has notado diferencias grandes en la calidad o criterios entre distintos ayudantes de un mismo curso? ;(Opcional) Cuéntanos brevemente qué diferencia notaste;¿Qué tan alineada sientes la ayudantía con lo que ves en clases con el profesor?;Column;Si has tenido problemas con una corrección, ¿cómo fue la resolución?;¿Qué modalidad te sirve más para una ayudantía? (Tipo: Opción única);¿En qué horario es más probable que asistas a una ayudantía? (Tipo: Opción única);¿Qué formato de ayudantía es el que más te ayuda a aprender? (Tipo: Opción única);Para ti, ¿qué es lo más importante que debería tener una ayudantía para ser útil? (Tipo: Texto);Si pudieras cambiar UNA sola cosa de las ayudantías de ICI hoy, ¿qué sería? (Tipo: Texto);¿Alguna vez has sido ayudante en la UAI? (Tipo: Opción única);¿Cuál es la razón principal por la que NO has sido ayudante? (Tipo: Máximo 3 opciones);(Opcional) Comentarios sobre las ayudantias en la actualidad
11;1-15-26 15:33:48;1-15-26 15:38:37;anonymous;;;;25%;"Horario (tope o inconveniente);Me apoyo en otras herramientas (IA, videos externos, apuntes);Modalidad (ej. es online y prefiero presencial, o viceversa);";"Apuntes propios o de compañeros;";3;2;4;4;No, es bastante homogéneo;;6;4;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);Que el ayudante haga ejercicios más “complicadas” de pautas de años pasados o guías del semestre.;Que siempre esté el material disponible en webc para poder repasarlo. No necesariamente que sea asincronica, que sea online para que los estudiantes puedan hacer preguntas en rl momento, pero que estas se graben y luego se suban a la plataforma.;No;"Los horarios de ayudantía no me acomodan;";
12;1-15-26 15:35:19;1-15-26 15:38:48;anonymous;;;;0%;"No me sirve / No aporta valor;Prefiero estudiar por mi cuenta;Me apoyo en otras herramientas (IA, videos externos, apuntes);";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);";1;1;5;5;No, es bastante homogéneo;;10;5;Se resolvió, pero fue un proceso lento o difícil.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Tarde;Repaso de materia (resumen) + Práctica;Que sea haga un repaso y los conocimientos teoricos que se necesitan para la resolucion de ejercicios;Que TODAS sean grabadas para poder resolver los ejercicios por mi cuenta y a mi ritmoy no solo ver como lo hace el ayudante. De esta forma las puedo ir pausando y retrocediendo;No;"No me siento preparado/a técnicamente;No tengo tiempo por la carga académica;";
13;1-15-26 15:33:41;1-15-26 15:39:08;anonymous;;;;0%;"Modalidad (ej. es online y prefiero presencial, o viceversa);Prefiero online;Prefiero estudiar por mi cuenta;Logística / Traslado a la sede;";"IA (ChatGPT, Claude, etc.);Apuntes propios o de compañeros;";3;2;3;5;Sí, hay mucha diferencia;;7;5;Se resolvió rápido y de forma clara.;Híbrida (presencial + transmisión);Almuerzo;Resolución de ejercicios tipo prueba (intensivo);Realizar ejercicios tipo prueba, ya q muchos son simples;;No;"El pago/incentivo económico es bajo;No tengo tiempo por la carga académica;Los horarios de ayudantía no me acomodan;";
14;1-15-26 15:34:05;1-15-26 15:39:16;anonymous;;;;50%;"Horario (tope o inconveniente);Modalidad (ej. es online y prefiero presencial, o viceversa);";"Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";4;5;4;4;Sí, hay mucha diferencia;;8;4;Se resolvió, pero fue un proceso lento o difícil.;100% Online sincrónica (Zoom/Teams en vivo);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);Ejercicios tipo prueba;La modalidad presencial ;No;"No me aceptan, a pesar de tener promedio 6,0 en los ramos que postulo;";
15;1-15-26 15:35:43;1-15-26 15:39:21;anonymous;;;;75%;;"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";4;4;4;4;Sí, hay mucha diferencia;;7;3;Se resolvió, pero fue un proceso lento o difícil.;Híbrida (presencial + transmisión);Tarde;Resolución de ejercicios tipo prueba (intensivo);un ppt con materia resumen + ejercicios tipo prueba ;es que depende de cada ramo, hay ramos que tienen ayudantías. muy completas pero algunos carecen de esto;No;"El incentivo académico (créditos/currículum) no es suficiente;Mi promedio no me alcanza y no quedo seleccionada;";De. manera online es súper útil pues sirve demasiado tener la cápsula grabada para las. personas que. no podemos o no queremos comenzar q estudiar con tanta anticipación 
16;1-15-26 15:34:58;1-15-26 15:39:50;anonymous;;;;75%;;"IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);Grupo de estudio con amigos;";4;2;5;4;Sí, hay mucha diferencia;;7;3;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);Explicar y representar la explicación en un ejercicio de forma clara y ordenada, al mismo tiempo estar con la mejor disposición para las preguntas.;Que sean de forma online y queden grabadas posteriormente para que el alumno la pueda revisar con calma y a su ritmo;No;"Los horarios de ayudantía no me acomodan;El incentivo académico (créditos/currículum) no es suficiente;El pago/incentivo económico es bajo;";
17;1-15-26 15:33:52;1-15-26 15:40:07;anonymous;;;;50%;"Modalidad (ej. es online y prefiero presencial, o viceversa);";"Grupo de estudio con amigos;Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);";3;2;2;2;Sí, hay mucha diferencia;Para gestion de cadena de suministro pasa que hay ayudantes que hacen ayudantía de 1 hora bien y explican, otros de 20 minutos y a la rápida sin mucha preparación ;2;4;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Mañana;Repaso de materia (resumen) + Práctica;Que sea preparada, podría ser que se coordine una guía o ejercicios que se van a ver en distintas ayudantías. Ósea más coordinado.;Que fueran ayudantias más coordinadas y se verifique que cuando se realizan duren un mínimo, no 20 min.;Sí;;
18;1-15-26 15:34:50;1-15-26 15:40:32;anonymous;;;;25%;"Horario (tope o inconveniente);Mal ayudante / No se entiende;Modalidad (ej. es online y prefiero presencial, o viceversa);";"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);";2;3;3;2;Sí, hay mucha diferencia;Hay ayudantes que hacen ejercicios mucho más simples y otros más complicados ;9;3;Se resolvió, pero fue un proceso lento o difícil.;100% Presencial;Mañana;Repaso de materia (resumen) + Práctica;Resolución de ejercicios tipo prueba;el horario en la tarde/noche, prefiero en la mañana/mediodia;Sí;;Prefiero que sean presencial
19;1-15-26 15:36:45;1-15-26 15:41:18;anonymous;;;;0%;"Horario (tope o inconveniente);Logística / Traslado a la sede;Modalidad (ej. es online y prefiero presencial, o viceversa);";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";4;5;4;4;No, es bastante homogéneo;;7;5;Se resolvió, pero fue un proceso lento o difícil.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Almuerzo;Resolución de ejercicios tipo prueba (intensivo);Resolución de ejercicios ;;Sí;;
20;1-15-26 15:34:30;1-15-26 15:41:59;anonymous;;;;75%;;"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);";5;5;4;4;Sí, hay mucha diferencia;Se ven más diferencias cuando el ayudante a trabajado en el mismo ramo más de una ves, por lo que tiene un mayor manejo de la materia y puede emplear un mejor criteria para responder dudas;9;4;Se resolvió rápido y de forma clara.;100% Presencial;Almuerzo;Repaso de materia (resumen) + Práctica;Lo más importante es que el ayudante haga un resumen de la materia que ocuparemos para resolver los ejercicios que tiene planificados para ese día ;Que el material de las ayudantias sea igual para todas las secciones del mismo ramo y no cambie en función de quien es el profe, asi mejoramos la calidad y no tenemos diferencias de los contenidos vistos frente a las evaluaciones ;No;"El pago/incentivo económico es bajo;El incentivo académico (créditos/currículum) no es suficiente;";
21;1-15-26 15:36:53;1-15-26 15:41:59;anonymous;;;;25%;"Modalidad (ej. es online y prefiero presencial, o viceversa);Me apoyo en otras herramientas (IA, videos externos, apuntes);No me gusta que sean online;";"IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";2;2;3;4;No, es bastante homogéneo;;8;3;Se resolvió rápido y de forma clara.;100% Presencial;Mañana;Resolución de ejercicios tipo prueba (intensivo);Poder resolver de forma sencilla y clara ejercicio de pruebas pasadas;Que no sean 100% online y que si son presencial el, que el horario no fuera tan tarde;No;"No tengo tiempo por la carga académica;";
22;1-15-26 15:34:22;1-15-26 15:42:23;anonymous;;;;25%;"Modalidad (ej. es online y prefiero presencial, o viceversa);Logística / Traslado a la sede;";"Videos (YouTube, grabaciones de años anteriores);";4;5;4;4;Sí, hay mucha diferencia;;8;3;Se resolvió rápido y de forma clara.;100% Presencial;Almuerzo;Repaso de materia (resumen) + Práctica;"Variantes y flexibilidad… que las ayudantías no sean siempre del mismo estilo; por ejemplo: se da mucho que es resolver ejercicios de pautas o guías durante todo el año, sería útil que hayan actividades de ayudantías, quiz, que el ayudante si gusta pueda dar ciertos incentivos (décimas, con criterio (no excesivas)) para ser un aliado del ayudante y viceversa, ya que con el paso del tiempo se ha ido perdiendo esa conexión bajo la premisa que “las ayudantías no sirven”";En caso de ser online que se concrete su grabación y se pueda acceder a ellas;Sí;;
23;1-15-26 15:37:36;1-15-26 15:45:00;anonymous;;;;50%;"Horario (tope o inconveniente);Modalidad (ej. es online y prefiero presencial, o viceversa);";"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);";3;5;3;4;Sí, hay mucha diferencia;;7;4;No aplica / No he tenido problemas.;100% Presencial;Mañana;Repaso de materia (resumen) + Práctica;Que tenga mayor conexión con los estudiantes, o sea, haya comunicación entre que quieren repasar los alumnos con el ayudante ;El horario;Sí;;En mi opinión, los horarios tan tarde que he tenido más el que sean online hace que la asistencia sea muy baja. No obstante para asignaturas tics sí es mucho más práctico que sea online (fui ayudante de EDO y ciencia de datos)
24;1-15-26 15:42:25;1-15-26 15:51:06;anonymous;;;;75%;;"IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;Apuntes propios o de compañeros;";5;1;5;4;Sí, hay mucha diferencia;Algunos ayudantes hacen ejercicios tipo prueba, otros se adaptan a la pauta que les entrega el profe y realizan solo los ejercicios entregados con anterioridad.;7;4;No se resolvió satisfactoriamente.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Vespertino (Después de las 18:00);Resolución de ejercicios tipo prueba (intensivo);Mucha práctica;Hacer votación para saber la disponibilidad de los alumnos en cuanto al horario en el que se hacen las ayudantías;No;"El pago/incentivo económico es bajo;No me siento preparado/a técnicamente;No tengo tiempo por la carga académica;";
25;1-15-26 15:53:03;1-15-26 16:01:15;anonymous;;;;25%;"Horario (tope o inconveniente);No me sirve / No aporta valor;Mal ayudante / No se entiende;Prefiero estudiar por mi cuenta;Me apoyo en otras herramientas (IA, videos externos, apuntes);";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Tutorías externas pagadas;";2;4;2;2;No, es bastante homogéneo;;7;2;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Mañana;Resolución de ejercicios tipo prueba (intensivo);Ejercicios tipo prueba o control con buenas y claras explicaciones, sin saltarse ningún paso.;Los horarios, muchas veces son en la tarde/noche dónde uno ya está cansado y no tiene mucha energía o ganas de asistir.;No;"No tengo tiempo por la carga académica;El pago/incentivo económico es bajo;";
26;1-15-26 16:01:34;1-15-26 16:05:02;anonymous;;;;75%;;"Apuntes propios o de compañeros;Tutorías externas pagadas;IA (ChatGPT, Claude, etc.);Videos (YouTube, grabaciones de años anteriores);";5;5;3;4;Sí, hay mucha diferencia;Existía diferencia en la calidad de los ayudantes ya que por ejemplo habían ayudantes que no se sabían la materia, no tenían las clases preparadas.;8;3;Se resolvió, pero fue un proceso lento o difícil.;Híbrida (presencial + transmisión);Almuerzo;Repaso de materia (resumen) + Práctica;Resumen de la materia para la prueba ;Nose;No;"El pago/incentivo económico es bajo;Los horarios de ayudantía no me acomodan;";
27;1-15-26 15:46:24;1-15-26 16:05:21;anonymous;;;;25%;"Horario (tope o inconveniente);Prefiero estudiar por mi cuenta;Me apoyo en otras herramientas (IA, videos externos, apuntes);Logística / Traslado a la sede;Modalidad (ej. es online y prefiero presencial, o viceversa);Muchas veces quedo desfasada con la materia que vamos viendo en clases y por lo mismo con las ayudantias, entonces estoy tratando de ponerme al día y  por lo mismo no asisto. Sería bueno que se realizarán los controles en horario de ayudantias o bien algunos en ese horario y otros en clases. ;";"Videos (YouTube, grabaciones de años anteriores);Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Tutorías externas pagadas;Me sirvió mucho videos de ayudantias de semestres anteriores o videos de clases de pandemia, para complementar todo y pausar para poder escribir con tranquilidad mis apuntes. ;";5;2;3;5;Sí, hay mucha diferencia;El semestre 2025-2 prepare Gestión de operaciones con las ayudantias del semestre anterior. Las del semestre 2025-2 resultaron ser los mismos ejercicios (ninguno diferente) y se me hacía más fácil entenderle a Javiera M. (2025-1), sentí que las ayudantias del 2025-2 copiaban lo que ella decía. Me ha sucedido en otra ocasiones que el ayudante lee la pauta o la replica pero no puede terminar de explicar porque se realiza ese procedimiento (por lo mismo se saltan pasos como en la pauta). ;10;3;Se resolvió, pero fue un proceso lento o difícil.;Híbrida (presencial + transmisión);Almuerzo;Resolución de ejercicios tipo prueba (intensivo);Poder obtener todos los tips y/o trucos para poder resolver de forma óptima la prueba. ;Sería que los ejercicios realizados en las ayudantias sean creados para la ayudantia. Por lo general son ejercicios de pruebas de años anteriores, además los profesores hacen lo mismo con las guías y los alumnos también revisamos ese material, entonces no hay mucho más donde ver ejercicios (se ve un mismo ejercicio en estas 3 instancias).;Sí;;También dependen del profesor al que se ayuda, muchas veces están muy ocupados y como ayudante te debes encargar de todo bajo tu criterio.
28;1-15-26 16:14:28;1-15-26 16:19:04;anonymous;;;;25%;"Me apoyo en otras herramientas (IA, videos externos, apuntes);Horario (tope o inconveniente);";"Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);";4;2;3;4;Sí, hay mucha diferencia;"Pasa que entre secciones se nota la diferencia en los ""tips"" que dan para las pruebas, supongo que algunos ayudantes se comunican más con los profesores y entregan datos que responden mejor a lo que será evaluado";7;2;Se resolvió, pero fue un proceso lento o difícil.;Híbrida (presencial + transmisión);Mañana;Resolución de ejercicios tipo prueba (intensivo);Que sepa mucho de la materia pero que tenga un perfil agradable, me ha ocurrido que tengo ayudantes farzantes que dificultan mucho llegar a conversaciones que promuevan los espacios de preguntas;que tengan un chat compartido de teams donde se hagan las preguntas y respeustas pero QUE TODAS LAS PUEDAN VER, seria MUY útil;No;"Los horarios de ayudantía no me acomodan;";
29;1-15-26 16:16:53;1-15-26 16:22:43;anonymous;;;;25%;"No me sirve / No aporta valor;Modalidad (ej. es online y prefiero presencial, o viceversa);";"IA (ChatGPT, Claude, etc.);Apuntes propios o de compañeros;Grupo de estudio con amigos;";5;2;3;3;Sí, hay mucha diferencia;Cada ayudante tiene su propia forma de enseñar pero hay algunos que se les entiende mucho más fácil que a otros;7;4;Se resolvió, pero fue un proceso lento o difícil.;100% Presencial;Mañana;Repaso de materia (resumen) + Práctica;Un ayudante que realmente le guste enseñar;Que ya no sean online y sean presenciales, si es que no se puede ya que gente le gusta online podría ser semana por medio o tener 2 ayudantes de una asignatura para todas las secciones, 1 ayudante hace online y el otro presencial ;No;"No tengo tiempo por la carga académica;No me siento preparado/a técnicamente;";Son buenas pero pero pueden mejorar 
30;1-15-26 16:25:33;1-15-26 16:29:30;anonymous;;;;100%;;"Videos (YouTube, grabaciones de años anteriores);";5;2;4;5;No, es bastante homogéneo;;8;4;No aplica / No he tenido problemas.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Almuerzo;Resolución de ejercicios tipo prueba (intensivo);tips ;quitar la presencialidad ;No;"aún contando con buen promedio para el ramo, no me eligen y se quedan con los ayudantes de siempre ;";
31;1-15-26 16:28:03;1-15-26 16:36:08;anonymous;;;;50%;"Horario (tope o inconveniente);Mal ayudante / No se entiende;No me sirve / No aporta valor;Prefiero estudiar por mi cuenta;Me apoyo en otras herramientas (IA, videos externos, apuntes);Modalidad (ej. es online y prefiero presencial, o viceversa);";"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);";2;1;1;1;No, es bastante homogéneo;;5;5;No aplica / No he tenido problemas.;Híbrida (presencial + transmisión);Mañana;Resolución de ejercicios tipo prueba (intensivo);Ejercicios tipo prueba y responder dudas.;Que los ayudantes sean más motivadas al momento de hacer los ejercicios. Entiendo el horario y cansancio pero debería ser más eficiente para conectar más con el estudiante.;Sí;;
32;1-15-26 16:42:03;1-15-26 16:44:19;anonymous;;;;75%;;"Apuntes propios o de compañeros;Videos (YouTube, grabaciones de años anteriores);";3;2;3;1;Sí, hay mucha diferencia;;7;4;Se resolvió rápido y de forma clara.;100% Presencial;Mañana;Trabajo práctico (el alumno resuelve con guía del ayudante);Incentivar alumnos en participar;Que los alumnos se acerquen a la pizarra y empiecen a resolver ejercicios;Sí;;
33;1-15-26 16:44:56;1-15-26 16:49:03;anonymous;;;;25%;"Prefiero estudiar por mi cuenta;Me apoyo en otras herramientas (IA, videos externos, apuntes);";"Videos (YouTube, grabaciones de años anteriores);IA (ChatGPT, Claude, etc.);Apuntes propios o de compañeros;";3;3;3;3;Sí, hay mucha diferencia;;8;4;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Tarde;Resolución de ejercicios tipo prueba (intensivo);Que de tips y mencione los principales errores  aspectos a los que hay que estar atentos.;Que sean tipo cápsulas de ejercicios a las cuales uno pueda recurrir más de una vez  ;No;"El pago/incentivo económico es bajo;El incentivo académico (créditos/currículum) no es suficiente;";
34;1-15-26 17:01:00;1-15-26 17:02:53;anonymous;;;;25%;"Horario (tope o inconveniente);Prefiero estudiar por mi cuenta;";"Apuntes propios o de compañeros;IA (ChatGPT, Claude, etc.);Grupo de estudio con amigos;";3;5;3;3;No, es bastante homogéneo;;6;3;Se resolvió rápido y de forma clara.;Asincrónica (Cápsulas/Material grabado + espacio de dudas);Almuerzo;Trabajo práctico (el alumno resuelve con guía del ayudante);;;Sí;;
